Date (LT),Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,QC Name
1/1/2023 1:00,1,297.6,348,Hazardous,340,UG/M3,Valid
1/1/2023 2:00,2,254.8,305,Hazardous,212,UG/M3,Valid
1/1/2023 3:00,3,217.7,268,Very Unhealthy,179,UG/M3,Valid
1/1/2023 4:00,4,199.9,250,Very Unhealthy,180,UG/M3,Valid
1/1/2023 5:00,5,173.7,224,Very Unhealthy,149,UG/M3,Valid
1/1/2023 6:00,6,139.8,195,Unhealthy,106,UG/M3,Valid
1/1/2023 7:00,7,113.9,181,Unhealthy,88,UG/M3,Valid
1/1/2023 8:00,8,101.9,175,Unhealthy,90,UG/M3,Valid
1/1/2023 9:00,9,109.9,179,Unhealthy,118,UG/M3,Valid
1/1/2023 10:00,10,117.4,183,Unhealthy,125,UG/M3,Valid
1/1/2023 11:00,11,141.2,195,Unhealthy,165,UG/M3,Valid
1/1/2023 12:00,12,140.5,195,Unhealthy,140,UG/M3,Valid
1/1/2023 13:00,13,137.2,193,Unhealthy,134,UG/M3,Valid
1/1/2023 14:00,14,128.1,188,Unhealthy,119,UG/M3,Valid
1/1/2023 15:00,15,121.5,185,Unhealthy,115,UG/M3,Valid
1/1/2023 16:00,16,114.6,182,Unhealthy,106,UG/M3,Valid
1/1/2023 17:00,17,116.6,183,Unhealthy,119,UG/M3,Valid
1/1/2023 18:00,18,153.2,204,Very Unhealthy,190,UG/M3,Valid
1/1/2023 19:00,19,251.6,302,Hazardous,350,UG/M3,Valid
1/1/2023 20:00,20,305.3,355,Hazardous,359,UG/M3,Valid
1/1/2023 21:00,21,302.6,353,Hazardous,300,UG/M3,Valid
1/1/2023 22:00,22,263.8,314,Hazardous,225,UG/M3,Valid
1/1/2023 23:00,23,238.9,289,Very Unhealthy,214,UG/M3,Valid
1/2/2023 0:00,0,230.9,281,Very Unhealthy,223,UG/M3,Valid
1/2/2023 1:00,1,219.9,270,Very Unhealthy,209,UG/M3,Valid
1/2/2023 2:00,2,217.5,267,Very Unhealthy,215,UG/M3,Valid
1/2/2023 3:00,3,209.2,259,Very Unhealthy,201,UG/M3,Valid
1/2/2023 4:00,4,217.6,267,Very Unhealthy,226,UG/M3,Valid
1/2/2023 5:00,5,234.3,284,Very Unhealthy,253,UG/M3,Valid
1/2/2023 6:00,6,238,288,Very Unhealthy,244,UG/M3,Valid
1/2/2023 7:00,7,259.1,310,Hazardous,286,UG/M3,Valid
1/2/2023 8:00,8,248.4,298,Very Unhealthy,242,UG/M3,Valid
1/2/2023 9:00,9,221.5,271,Very Unhealthy,176,UG/M3,Valid
1/2/2023 10:00,10,206.2,256,Very Unhealthy,182,UG/M3,Valid
1/2/2023 11:00,11,204.2,254,Very Unhealthy,201,UG/M3,Valid
1/2/2023 12:00,12,177.1,227,Very Unhealthy,151,UG/M3,Valid
1/2/2023 13:00,13,139.6,194,Unhealthy,104,UG/M3,Valid
1/2/2023 14:00,14,113.2,181,Unhealthy,87,UG/M3,Valid
1/2/2023 15:00,15,102.6,175,Unhealthy,92,UG/M3,Valid
1/2/2023 16:00,16,98.3,173,Unhealthy,94,UG/M3,Valid
1/2/2023 17:00,17,100.6,174,Unhealthy,103,UG/M3,Valid
1/2/2023 18:00,18,118.3,183,Unhealthy,136,UG/M3,Valid
1/2/2023 19:00,19,151.1,202,Very Unhealthy,184,UG/M3,Valid
1/2/2023 20:00,20,178,228,Very Unhealthy,205,UG/M3,Valid
1/2/2023 21:00,21,218.5,268,Very Unhealthy,259,UG/M3,Valid
1/2/2023 22:00,22,256.7,307,Hazardous,295,UG/M3,Valid
1/2/2023 23:00,23,266.9,317,Hazardous,277,UG/M3,Valid
1/3/2023 0:00,0,269.9,320,Hazardous,273,UG/M3,Valid
